,TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd01,Rsvd02,Rsvd03,Rsvd04,Rsvd1,Rsvd2,Rsvd3,Rsvd4
189991,2024-03-27,2024-03-27,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,6198.85,6341.0,6094.0,6279.75,6270.0,5931.9,,6279.35,,,38647,242816643.0,4239,F1,1,,,,,,,,,
194285,2024-07-23,2024-07-23,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,7730.05,7814.0,7067.8,7502.95,7517.95,7709.3,,7503.05,,,10479,78262249.0,2739,F1,1,,,,,,,,,
198621,2024-05-09,2024-05-09,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,7191.85,7200.0,6959.55,6989.1,6989.1,7190.05,,6985.25,,,19966,141243797.0,3609,F1,1,,,,,,,,,
202867,2024-05-21,2024-05-21,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,8415.35,8600.0,8350.0,8571.35,8571.35,8415.4,,8549.9,,,9270,78705041.0,2908,F1,1,,,,,,,,,
207291,2024-07-25,2024-07-25,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,7479.5,7761.2,7408.95,7627.55,7630.0,7526.0,,7623.9,,,17712,134811134.0,2161,F1,1,,,,,,,,,
211663,2024-05-10,2024-05-10,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,7032.9,7205.0,7032.9,7182.15,7182.15,6989.1,,7178.5,,,20666,147289295.0,5834,F1,1,,,,,,,,,
215884,2024-07-12,2024-07-12,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,8454.45,8469.45,8195.0,8207.45,8207.45,8454.45,,8209.2,,,12595,103936425.0,2390,F1,1,,,,,,,,,
220244,2024-05-13,2024-05-13,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,7555.0,8025.0,7408.9,7983.8,7983.8,7182.15,,7984.25,,,150010,1168911112.0,15469,F1,1,,,,,,,,,
224642,2024-05-07,2024-05-07,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,6969.95,7035.0,6830.0,6887.85,6867.65,6942.3,,6888.45,,,18192,126198734.0,3382,F1,1,,,,,,,,,
228868,2024-07-11,2024-07-11,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,8598.95,8598.95,8430.0,8454.45,8455.5,8544.75,,8457.85,,,4730,40095920.0,1426,F1,1,,,,,,,,,
233198,2024-07-05,2024-07-05,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,8701.7,8708.55,8607.8,8680.85,8682.1,8708.35,,8679.4,,,3315,28736091.0,925,F1,1,,,,,,,,,
237571,2024-03-01,2024-03-01,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,5499.0,5525.0,5454.7,5485.65,5485.65,5449.85,,5489.6,,,18732,102802625.0,2415,F1,1,,,,,,,,,
241854,2024-03-15,2024-03-15,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,5642.35,5790.9,5586.25,5626.3,5600.0,5639.3,,5616.65,,,20522,116726955.0,3136,F1,1,,,,,,,,,
246123,2024-03-14,2024-03-14,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,5580.05,5660.0,5522.5,5639.3,5636.75,5591.75,,5625.65,,,5493,30770217.0,956,F1,1,,,,,,,,,
250445,2024-03-28,2024-03-28,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,6270.4,6470.0,6225.35,6363.3,6350.0,6279.75,,6360.9,,,20461,130121169.0,3200,F1,1,,,,,,,,,
254706,2024-07-04,2024-07-04,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,8669.0,8809.0,8584.05,8708.35,8700.0,8614.9,,8715.3,,,15882,138417930.0,3016,F1,1,,,,,,,,,
259097,2024-07-10,2024-07-10,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,8505.05,8611.35,8385.45,8544.75,8551.2,8572.45,,8542.9,,,3266,27799901.0,914,F1,1,,,,,,,,,
263432,2024-05-06,2024-05-06,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,6700.05,7025.0,6700.05,6942.3,6942.3,6698.75,,6940.45,,,35234,244579524.0,5722,F1,1,,,,,,,,,
